,ID,GROUP,CONDITION,Q1,Q2A,Q2B,Q2C,Q2D,Q2E,Q2F,Q2G,Q2H,Q2I,Q3A,Q3B,Q3C,Q3D,Q3E,Q3F,Q3G,Q3H,Q4A,Q4B,Q4C,Q4D,Q4E,Q4F,Q4G,Q4H,Q4I,Q4J,Q5A,Q5B,Q5C,Q5D,Q5E,Q5F,Q5G,Q5H,Q5I,Q5J,Q6A,Q6B,Q6C,Q6D,Q6E,Q6F,Q6G,Q6H,Q6I,Q6J,T2Q1,T2Q2A,T2Q2B,T2Q2C,T2Q2D,T2Q2E,T2Q2F,T2Q2G,T2Q2H,T2Q2I,T2Q3A,T2Q3B,T2Q3C,T2Q3D,T2Q3E,T2Q3F,T2Q3G,T2Q3H,T2Q4A,T2Q4B,T2Q4C,T2Q4D,T2Q4E,T2Q4F,T2Q4G,T2Q4H,T2Q4I,T2Q4J,T2Q5A,T2Q5B,T2Q5C,T2Q5D,T2Q5E,T2Q5F,T2Q5G,T2Q5H,T2Q5I,T2Q5J,T2Q6A,T2Q6B,T2Q6C,T2Q6D,T2Q6E,T2Q6F,T2Q6G,T2Q6H,T2Q6I,RACE,AGEBRACKET,EDUCATION,PARTYBEFORE,GENDER,AGE
34,34,23,1,4,4,10,6,5,7,6,9,10,4,9,10,8,8,3,0,3,9,2,10,0,10,10,0,10,10,10,3,0,3,8,8,10,8,8,10,2,10,8,5,9,9,4,8,10,9,4,8,98,1,10,7,8,10,2,9,10,1,9,10,9,10,0,0,5,9,10,10,0,10,9,0,10,7,5,0,0,2,9,10,10,10,10,10,10,10,8,1,9,10,4,10,10,9,1,"Black, non-Hispanic",30-44,Some college,Democrat,Female,34
35,35,21,1,6,7,7,5,5,4,6,6,3,8,3,5,3,0,6,5,5,3,8,6,3,5,7,5,2,3,2,0,7,4,4,5,8,5,5,3,6,6,3,8,7,6,6,3,5,6,7,6,8,3,9,6,7,7,8,8,5,4,6,3,7,3,3,3,5,3,4,6,5,6,7,0,1,4,1,0,5,6,7,8,9,6,6,3,8,5,8,7,7,5,5,6,7,7,6,"White, non-Hispanic",60+,BA or above,Republican,Male,62
36,36,20,1,3,5,5,1,1,1,5,5,5,8,10,10,8,8,0,0,0,5,1,8,5,5,10,0,10,5,0,5,5,2,5,5,10,10,10,10,5,5,5,8,8,7,5,5,10,7,3,3,2,5,10,7,4,4,9,10,8,4,10,8,7,5,0,0,0,9,2,2,8,5,9,0,10,3,0,0,2,2,6,6,10,8,8,2,10,6,8,3,5,10,3,7,10,5,3,"White, non-Hispanic",45-59,BA or above,Independent,Female,55
37,37,9,1,9,9,1,1,10,6,8,8,0,10,0,0,0,0,10,1,1,0,0,0,10,0,1,10,0,0,0,0,10,8,3,3,8,4,3,1,7,8,1,8,9,6,5,1,2,9,3,6,8,5,6,4,8,7,8,8,4,6,1,6,2,0,9,3,7,0,0,0,10,1,2,9,1,0,0,0,5,4,4,4,7,1,2,1,7,8,2,9,9,6,6,0,1,7,7,"White, non-Hispanic",45-59,Some college,Independent,Male,59
38,38,27,1,4,0,10,8,8,7,6,8,10,1,10,10,10,10,0,0,0,3,5,8,1,8,10,2,8,8,8,2,0,1,8,6,10,10,10,9,10,9,7,5,9,10,1,9,9,9,1,10,4,1,9,8,8,8,3,7,10,0,10,10,10,8,0,0,0,7,7,10,1,8,10,0,8,6,5,4,0,0,10,10,10,10,10,8,10,8,10,3,9,10,6,10,8,8,0,"White, non-Hispanic",60+,BA or above,Democrat,Female,65
39,39,40,1,4,0,10,10,9,10,1,1,10,0,10,4,10,9,5,10,1,9,10,10,5,10,10,0,10,10,10,10,0,0,10,10,10,10,10,10,10,10,10,2,10,10,2,5,10,7,5,9,2,0,10,9,8,9,1,10,10,0,10,4,8,9,7,1,7,10,10,10,10,10,10,9,8,10,10,10,0,4,10,10,98,10,10,9,9,8,10,3,10,10,5,10,10,1,5,Hispanic,60+,HS graduate or equivalent,Democrat,Male,68
40,40,23,1,5,4,10,6,6,4,9,8,7,77,10,8,8,10,5,0,0,6,5,77,4,8,9,5,4,7,8,0,4,3,6,6,10,8,8,5,4,7,77,5,7,5,3,10,9,8,4,5,6,2,10,9,6,7,10,8,7,3,10,10,8,6,0,0,3,5,8,3,0,10,7,0,6,1,6,0,1,0,9,5,10,7,7,1,10,10,10,0,6,10,6,9,9,7,1,"White, non-Hispanic",60+,Some college,Independent,Female,61
41,41,20,1,1,0,10,10,5,10,7,10,10,0,10,8,6,5,2,0,0,0,7,10,0,10,6,2,7,5,4,0,0,5,7,10,10,10,10,8,10,10,7,5,8,10,4,10,10,9,5,10,4,2,10,10,6,10,10,10,10,0,10,5,9,3,1,0,0,1,5,10,0,10,7,0,9,1,5,0,0,1,6,7,10,8,8,1,10,10,10,2,9,10,7,10,9,7,3,"2+, non-Hispanic",60+,BA or above,Democrat,Female,67
42,42,26,1,2,10,0,10,0,0,5,10,0,10,10,10,5,9,5,0,0,5,0,10,5,10,10,0,5,5,5,0,2,0,5,10,10,10,10,10,10,10,5,5,5,5,5,0,10,0,0,5,7,9,5,5,2,4,10,10,2,10,9,9,7,0,0,0,0,5,2,0,2,2,5,0,6,0,0,0,8,4,8,10,10,8,8,6,10,10,8,5,4,6,6,6,1,4,0,"White, non-Hispanic",45-59,Some college,Republican,Male,59
43,43,21,1,5,0,5,5,8,5,77,0,10,5,77,77,0,6,4,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,10,4,10,5,10,3,10,10,10,0,10,7,7,10,7,9,7,9,8,10,0,10,10,0,10,10,10,7,10,0,10,10,10,6,6,4,5,10,10,7,7,8,7,10,2,8,9,Hispanic,30-44,HS graduate or equivalent,Democrat,Female,33
