,index_human,Question,Variable,Effect_Size_human,P_Value_human,Significant_human,Lower_CI_human,Upper_CI_human,Marginal_R2_human,Conditional_R2_human,Group_Variance_Prop_human,Demographic_Trust_human,index_llm,Effect_Size_llm,P_Value_llm,Significant_llm,Lower_CI_llm,Upper_CI_llm,Marginal_R2_llm,Conditional_R2_llm,Group_Variance_Prop_llm,Demographic_Trust_llm
40,40,Q2B,RACE_majority[T.True],-1.080508410262836,0.5201235875337265,False,-4.373272774151692,2.2122559536260207,0.061503678028422826,0.09380739350108591,0.032303715472663086,Low/Moderate,40,0.4254386021605605,0.6382740606036348,False,-1.348270647134985,2.199147851456106,0.036241996291810956,0.03624199828018046,1.9883695073237038e-09,Low/Moderate
41,41,Q2B,AGEBRACKET_majority[T.True],-0.6255400577875891,0.021761112311031495,True,-1.1598741722017825,-0.09120594337339594,0.061503678028422826,0.09380739350108591,0.032303715472663086,Low/Moderate,41,-0.27196629534852357,0.06591696354682156,False,-0.5618236345078198,0.017891043810772722,0.036241996291810956,0.03624199828018046,1.9883695073237038e-09,Low/Moderate
42,42,Q2B,EDUCATION_majority[T.True],-0.32916704829179283,0.29661153942053997,False,-0.9472935565048213,0.2889594599212357,0.061503678028422826,0.09380739350108591,0.032303715472663086,Low/Moderate,42,-0.1857786361168382,0.2781980430734404,False,-0.5215656484092865,0.15000837617561014,0.036241996291810956,0.03624199828018046,1.9883695073237038e-09,Low/Moderate
43,43,Q2B,PARTYBEFORE_majority[T.True],-0.19381583950768888,0.48116572601284535,False,-0.7330783198414256,0.3454466408260478,0.061503678028422826,0.09380739350108591,0.032303715472663086,Low/Moderate,43,0.03767370895327394,0.8020450405506079,False,-0.256856502940232,0.33220392084677985,0.036241996291810956,0.03624199828018046,1.9883695073237038e-09,Low/Moderate
44,44,Q2B,GENDER_majority[T.True],-0.04112015531226069,0.8734678105778152,False,-0.5471885306703992,0.4649482200458778,0.061503678028422826,0.09380739350108591,0.032303715472663086,Low/Moderate,44,-0.028595955592622943,0.8397371355021048,False,-0.305741379642436,0.24854946845719006,0.036241996291810956,0.03624199828018046,1.9883695073237038e-09,Low/Moderate
45,45,Q2B,RACE_diversity,0.23154021822420764,0.16599272412240607,False,-0.09607456140438383,0.5591549978527991,0.061503678028422826,0.09380739350108591,0.032303715472663086,Low/Moderate,45,0.005275505174858374,0.9463529301238257,False,-0.14839077573762846,0.1589417860873452,0.036241996291810956,0.03624199828018046,1.9883695073237038e-09,Low/Moderate
46,46,Q2B,AGEBRACKET_diversity,-0.09273709671853254,0.5468633515566251,False,-0.3944322641829687,0.2089580707459036,0.061503678028422826,0.09380739350108591,0.032303715472663086,Low/Moderate,46,0.10636597083185703,0.14006378986460982,False,-0.03491895633654263,0.2476508980002567,0.036241996291810956,0.03624199828018046,1.9883695073237038e-09,Low/Moderate
47,47,Q2B,EDUCATION_diversity,-0.10678892651211751,0.5256569763614929,False,-0.4365810707937489,0.22300321776951387,0.061503678028422826,0.09380739350108591,0.032303715472663086,Low/Moderate,47,-0.02008158987888999,0.7999319932142277,False,-0.17538442743033797,0.13522124767255797,0.036241996291810956,0.03624199828018046,1.9883695073237038e-09,Low/Moderate
48,48,Q2B,PARTYBEFORE_diversity,0.010138378728111654,0.9495965793174705,False,-0.30420729932026624,0.3244840567764895,0.061503678028422826,0.09380739350108591,0.032303715472663086,Low/Moderate,48,0.02830745636910739,0.7072844426783574,False,-0.11944423382059688,0.17605914655881166,0.036241996291810956,0.03624199828018046,1.9883695073237038e-09,Low/Moderate
49,49,Q2B,GENDER_diversity,0.03849178384408778,0.8071430875428511,False,-0.27055535190093233,0.34753891958910793,0.061503678028422826,0.09380739350108591,0.032303715472663086,Low/Moderate,49,-0.11583910270807743,0.11419439209466391,False,-0.2595703594526456,0.027892154036490757,0.036241996291810956,0.03624199828018046,1.9883695073237038e-09,Low/Moderate
